year,fire_id,area_ha,date,date_l,date_u,datesrc,name,obs,collec
2016,2016_2006721437,26.7984212884664,2016-01-21,2016-01-09,2016-02-01,landsat,2016_2006721437,NA,2
2016,2016_47j,1742.82736230709,2016-01-22,2016-01-22,2016-01-23,other,Alerces 2016,NA,1
2016,2016_26,454.959798300575,2016-02-12,2016-02-12,2016-02-12,modis,Turbio 2016,NA,1
2016,2016_4,17.3076763104445,2016-02-17,2016-02-09,2016-02-25,landsat,2016_4,NA,1
2016,2016_70,10.4471426068075,2016-02-18,2016-02-02,2016-03-05,landsat,2016_70,NA,1
2016,2016_62,1745.24349267691,2016-02-22,2016-02-04,2016-03-11,modis,2016_62,could be separate fires,1
2016,2016_74,265.606204180197,2016-02-22,2016-02-02,2016-03-13,modis,2016_74,could be separate fires,1
2016,2016_88,829.505687365611,2016-02-22,2016-02-02,2016-03-13,modis,2016_88,NA,1
2016,2016_91,111.952283473634,2016-02-22,2016-02-10,2016-03-05,landsat,2016_91,NA,1
2016,2016_55,48.5872386890555,2016-02-25,2016-02-17,2016-03-04,landsat,2016_55,NA,1
2016,2016_86,541.74505751205,2016-03-06,2016-03-06,2016-03-06,modis,2016_86,NA,1
2016,2016_83S,39.6737812412629,2016-03-08,2016-03-04,2016-03-12,landsat,2016_83S,NA,1
2016,2016_69j,970.074611482376,2016-03-11,2016-03-07,2016-03-16,modis,2016_69j,NA,1
2016,2016_83N,411.737170889889,2016-03-11,2016-03-07,2016-03-16,modis,2016_83N,NA,1
2016,2016_72,593.510947248093,2016-03-13,2016-03-11,2016-03-14,modis,2016_72,NA,1
2016,modland_2016_RioPicoSOd_N,1313.11483655575,2016-03-13,2016-03-11,2016-03-15,modis,modland_2016_RioPicoSOd_N,NA,1
2016,2016_2064222747,13.3418264442891,2016-03-16,2016-03-12,2016-03-20,landsat,2016_2064222747,NA,2
2016,2016_165604345,14.103626839928,2016-05-20,2016-04-22,2016-06-17,landsat,2016_165604345,NA,2
2017,2017_1086039319,75.8254141736789,2017-01-03,2016-12-26,2017-01-10,landsat,2017_1086039319,NA,3
2017,2017_36,25.4717382660547,2017-02-04,2017-01-27,2017-02-12,landsat,2017_36,NA,1
2018,2018_44,403.583904533476,2017-12-01,2017-11-29,2017-12-02,modis,2018_44,NA,1
2018,2018_-922404543,24.9747971714984,2018-01-29,2018-01-13,2018-02-14,landsat,2018_-922404543,NA,2
2018,2018_1923568226,22.8894960548657,2018-02-06,2018-01-29,2018-02-14,landsat,2018_1923568226,NA,2
2019,2019_1950128683,10.5635322429892,2019-01-20,2019-01-16,2019-01-24,landsat,2019_1950128683,NA,2
2019,2019_1808452827,27.994358533454,2019-01-21,2019-01-17,2019-01-25,landsat,2019_1808452827,NA,2
2019,2019_1698997326,10.3278843039435,2019-01-22,2019-01-22,2019-01-22,modis,2019_1698997326,NA,2
2019,2019_35,13.3859042961351,2019-01-28,2019-01-24,2019-02-01,landsat,2019_35,NA,1
2019,2019_2146368869,11.8272572366838,2019-01-30,2019-01-30,2019-01-30,modis,2019_2146368869,NA,2
2019,2019_36,60.3475671931056,2019-02-21,2019-01-24,2019-03-21,landsat,2019_36,NA,1
2019,2019_1899985301,13.3468841136092,2019-02-25,2019-02-25,2019-02-26,landsat,2019_1899985301,NA,2
2020,2020_66,33.3367409249382,2019-08-13,2019-06-02,2019-10-23,landsat,2020_66,NA,1
2020,2020_1,16.3103006973841,2019-08-20,2019-06-17,2019-10-23,landsat,2020_1,NA,1
2020,2020_2089476162,23.8730307219889,2020-02-24,2020-02-20,2020-02-28,landsat,2020_2089476162,NA,2
2020,2020_2123827049,14.8272047141164,2020-03-03,2020-02-28,2020-03-07,landsat,2020_2123827049,NA,2
2020,2020_2118791555,106.958246962831,2020-03-03,2020-02-28,2020-03-07,landsat,2020_2118791555,NA,3
2020,2020_2132493642,476.228838897259,2020-03-08,2020-02-29,2020-03-15,landsat,2020_2132493642,NA,3
2020,2020_-27334981,33.192787800552,2020-03-11,2020-03-07,2020-03-15,landsat,2020_-27334981,NA,3
