class,aspect,elevation,slope
burned,87.771645,916,22.603308
burned,15.155246,1045,30.41237
burned,217.53595,724,8.132425
burned,253.45741,1002,6.487063
burned,199.81953,511,27.30327
burned,123.20271,359,34.21204
burned,180,1265,10.992985
burned,305.8078,919,1.5848659
burned,270,939,1.2321948
burned,0,939,8.2891
burned,53.47559,558,4.6647925
burned,234.3761,490,23.973356
burned,148.44926,501,22.6804
burned,325.15982,856,2.2589378
burned,195.16524,649,18.543352
burned,325.27664,903,2.2557445
burned,25.360317,750,35.624043
burned,80.88659,1619,31.517248
burned,165.91177,638,24.257454
burned,201.38495,1381,19.172234
burned,299.08902,535,38.62906
burned,111.06955,1123,2.578199
burned,206.93774,1000,8.265164
burned,293.03815,871,31.818304
burned,275.97253,868,8.842869
burned,141.05252,915,17.339144
burned,268.67273,544,34.947933
burned,82.319695,274,13.617524
burned,33.081333,790,25.779999
burned,262.1772,947,30.73812
burned,312.08322,1014,23.49745
burned,270,739,13.445979
burned,159.31155,569,23.39281
burned,79.50532,464,14.928921
burned,55.34697,648,18.861761
burned,21.879955,999,12.777226
burned,217.36005,753,15.914218
burned,63.055393,974,34.167255
burned,63.523247,968,42.23074
burned,70.572426,1117,25.951347
burned,355.4657,759,28.903625
burned,45.942062,1173,29.191757
burned,270,804,1.2474648
burned,144.31752,770,33.33153
burned,305.81046,968,4.74463
